CODIGO DANE,MUNICIPIO,HABITANTES
15500,Oicatá,2929
15507,Otanche,8112
15511,Pachavita,2474
15514,Páez,3288
15516,Paipa,35153
15518,Pajarito,2446
15522,Panqueba,1720
15531,Pauna,7309
15533,Paya,2670
15537,Paz de Río,4254
15542,Pesca,6821
15550,Pisba,1817
15572,Puerto Boyacá,48930
15580,Quípama,5049
15599,Ramiriquí,10212
15600,Ráquira,8136
15621,Rondón,2405
15632,Saboyá,14035
15638,Sáchica,5755
15646,Samacá,19075
15660,San Eduardo,1682
15664,San José de Pare,5066
15667,San Luis de Gaceno,5547
15673,San Mateo,3173
15676,San Miguel de Sema,3052
15681,San Pablo de Borbur,6806
15686,Santana,7814
15690,Santa María,3545
15693,Santa Rosa de Viterbo,13504
15696,Santa Sofía,3255
15720,Sativanorte,2182
15723,Sativasur,1120
15740,Siachoque,6865
15753,Soatá,8951
15755,Socotá,7308
15757,Socha,8195
15759,Sogamoso,132895
15761,Somondoco,2919
15762,Sora,3118
15763,Sotaquirá,8417
15764,Soracá,6150
15774,Susacón,2740
15776,Sutamarchán,6313
15778,Sutatenza,4279
15790,Tasco,5870
15798,Tenza,3872
15804,Tibaná,9242
15806,Tibasosa,13579
15808,Tinjacá,3397
15810,Tipacoque,3334
15814,Toca,9013
15816,Togüí,4393
15820,Tópaga,3747
15822,Tota,5303
15832,Tununguá,1598
15835,Turmequé,6239
15837,Tuta,8577
15839,Tutazá,2066
15842,Úmbita,7654
15861,Ventaquemada,16313
15879,Viracachá,2847
15897,Zetaquira,4687
17001,Manizales,454077
17013,Aguadas,23452
17042,Anserma,37335
17050,Aranzazu,10741
17088,Belalcázar,10837
17174,Chinchiná,53184
17272,Filadelfia,11600
17380,La Dorada,75319
17388,La Merced,5985
17433,Manzanares,18106
17442,Marmato,9330
17444,Marquetalia,13727
17446,Marulanda,2589
17486,Neira,21484
17495,Norcasia,6235
17513,Pácora,15593
17524,Palestina,15956
17541,Pensilvania,20102
17614,Riosucio,52878
17616,Risaralda,10753
17653,Salamina,19733
17662,Samaná,20317
17665,San José,5002
17777,Supía,29884
17867,Victoria,10533
17873,Villamaría,68625
17877,Viterbo,13078
18001,Florencia,176706
18029,Albania,4489
18094,Belén de Los Andaquíes,11418
18150,Cartagena del Chairá,31817
18205,Curillo,7938
18247,El Doncello,19692
18256,El Paujíl,18859
18410,La Montañita,15003
18460,Milán,10165
18479,Morelia,3826
18592,Puerto Rico,26838
18610,San José del Fragua,13379
18753,San Vicente del Caguán,53717
18756,Solano,11749
18785,Solita,6480
18860,Valparaíso,7199
19001,Popayán,330750
19022,Almaguer,18468
19050,Argelia,27013
19075,Balboa,21780
19100,Bolívar,37586
19110,Buenos Aires,32568
19130,Cajibío,43527
19137,Caldono,42447
19142,Caloto,30699
19212,Corinto,25847
19256,El Tambo,54629
19290,Florencia,5389
19300,Guachené,20340
19318,Guapi,28139
19355,Inzá,29918
19364,Jambaló,18869
19392,La Sierra,10825
19397,La Vega,25036
19418,López de Micay,19239
19450,Mercaderes,23467
19455,Miranda,32602
19473,Morales,40733
19513,Padilla,10152
19517,Páez,47499
19532,Patía,38094
19533,Piamonte,9409
19548,Piendamó - Tunía,42515
19573,Puerto Tejada,42462
19585,Puracé,17850
19622,Rosas,11724
19693,San Sebastián,11239
19698,Santander de Quilichao,114832
19701,Santa Rosa,5469
19743,Silvia,38680
19760,Sotará Paispamba,14440
19780,Suárez,33053
19785,Sucre,9826
19807,Timbío,36875
19809,Timbiquí,27038
19821,Toribío,37289
19824,Totoró,26027
19845,Villa Rica,21674
20001,Valledupar,552048
20011,Aguachica,122902
20013,Agustín Codazzi,66979
20032,Astrea,21812
20045,Becerril,24138
20060,Bosconia,44878
20175,Chimichagua,37519
20178,Chiriguaná,30687
20228,Curumaní,41080
20238,El Copey,32777
20250,El Paso,42322
20295,Gamarra,16429
20310,González,4731
20383,La Gloria,19105
20400,La Jagua de Ibirico,52771
20443,Manaure Balcón del Cesar,11221
20517,Pailitas,20407
20550,Pelaya,23085
20570,Pueblo Bello,30491
20614,Río de Oro,18427
20621,La Paz,30657
20710,San Alberto,29472
20750,San Diego,21199
20770,San Martín,29794
20787,Tamalameque,16766
23001,Montería,512994
23068,Ayapel,47954
23079,Buenavista,21772
23090,Canalete,15668
23162,Cereté,110032
23168,Chimá,18173
23182,Chinú,49422
23189,Ciénaga de Oro,61426
23300,Cotorra,19845
23350,La Apartada,15446
23417,Lorica,117188
23419,Los Córdobas,19607
23464,Momil,20422
23466,Montelíbano,87187
23500,Moñitos,31047
23555,Planeta Rica,65745
23570,Pueblo Nuevo,37032
23574,Puerto Escondido,24733
23580,Puerto Libertador,44233
23586,Purísima de La Concepción,17850
23660,Sahagún,111882
23670,San Andrés Sotavento,48760
23672,San Antero,35566
23675,San Bernardo del Viento,37629
23678,San Carlos,27777
23682,San José de Uré,14023
23686,San Pelayo,53786
23807,Tierralta,96620
23815,Tuchín,55791
23855,Valencia,36886
25001,Agua de Dios,13217
25019,Albán,7377
25035,Anapoima,17227
25040,Anolaima,15633
25053,Arbeláez,11753
25086,Beltrán,2022
25095,Bituima,2754
25099,Bojacá,11898
25120,Cabrera,5429
25123,Cachipay,11478
25126,Cajicá,99720
25148,Caparrapí,13931
25151,Cáqueza,19257
25154,Carmen de Carupa,8515
25168,Chaguaní,4680
25175,Chía,160435
25178,Chipaque,10786
25181,Choachí,12363
25183,Chocontá,23892
25200,Cogua,26204
25214,Cota,39679
25224,Cucunubá,8855
25245,El Colegio,28072
25258,El Peñón,5136
25260,El Rosal,26567
25269,Facatativá,167309
25279,Fómeque,13730
25281,Fosca,6475
25286,Funza,112720
25288,Fúquene,5588
25290,Fusagasugá,165340
25293,Gachalá,4724
25295,Gachancipá,20784
25297,Gachetá,9157
25299,Gama,3447
25307,Girardot,117744
25312,Granada,8505
25317,Guachetá,15272
25320,Guaduas,35617
25322,Guasca,18160
25324,Guataquí,2973
25326,Guatavita,7304
25328,Guayabal de Síquima,5087
25335,Guayabetal,7232
25339,Gutiérrez,3825
25368,Jerusalén,2483
25372,Junín,6514
25377,La Calera,35301
25386,La Mesa,38746
25394,La Palma,10521
25398,La Peña,6536
25402,La Vega,19992
25407,Lenguazaque,11576
25426,Machetá,6733
25430,Madrid,136374
25436,Manta,4175
25438,Medina,8806
25473,Mosquera,161610
25483,Nariño,2642
25486,Nemocón,15585
25488,Nilo,12902
25489,Nimaima,4036
25491,Nocaima,7037
25506,Venecia,4771
25513,Pacho,27672
25518,Paime,4589
25524,Pandi,5720
25530,Paratebueno,9886
25535,Pasca,10323
25572,Puerto Salgar,17878
25580,Pulí,3687
25592,Quebradanegra,5284
25594,Quetame,5700
25596,Quipile,7009
25599,Apulo,9381
25612,Ricaurte,15411
25645,San Antonio del Tequendama,13758
25649,San Bernardo,9635
25653,San Cayetano,5339
25658,San Francisco,12702
25662,San Juan de Rioseco,9155
25718,Sasaima,12355
25736,Sesquilé,13561
25740,Sibaté,39313
25743,Silvania,25190
25745,Simijaca,15080
25754,Soacha,808288
25758,Sopó,31106
25769,Subachoque,17956
25772,Suesca,20098
25777,Supatá,5944
25779,Susa,7579
25781,Sutatausa,6908
25785,Tabio,25964
25793,Tausa,9281
25797,Tena,11294
25799,Tenjo,25841
25805,Tibacuy,4975
25807,Tibirita,3523
25815,Tocaima,17814
25817,Tocancipá,49035
25823,Topaipí,4594
25839,Ubalá,8353
25841,Ubaque,7579
25843,Villa de San Diego de Ubaté,50309
25845,Une,7905
25851,Útica,4755
25862,Vergara,7686
25867,Vianí,5005
25871,Villagómez,1958
25873,Villapinzón,19768
25875,Villeta,31238
25878,Viotá,14883
25885,Yacopí,13474
25898,Zipacón,5386
25899,Zipaquirá,156983
27001,Quibdó,132918
27006,Acandí,14385
27025,Alto Baudó,28751
27050,Atrato,6308
27073,Bagadó,11444
27075,Bahía Solano,10443
27077,Bajo Baudó,30959
27099,Bojayá,12525
27135,El Cantón del San Pablo,6388
27150,Carmen del Darién,19825
27160,Cértegui,5853
27205,Condoto,12565
27245,El Carmen de Atrato,8343
27250,El Litoral del San Juan,23260
27361,Istmina,31298
27372,Juradó,6952
